One of 2 major approaches to data processing that performs the transformation step within the final storage destination.,ELT,"DP900,Definition"
One of 2 major approaches to data processing that performs the transformation in memory or in a staging environment before the final load into the destination data store.,ETL,"DP900,Definition"
Analytics technique that presents historical and current data to help understand the state of a business or system.,Descriptive,"DP900,Definition"
Analytics technique that focuses on surfacing the reasons behind a particular event or scenario.,Diagnostic,"DP900,Definition"
Analytics technique that project future events based on past trends or similar scenarios,Predictive,"DP900,Definition"
Analytics technique that offers recommendations by asserting required actions to achieve a target metric or goal,Prescriptive,"DP900,Definition"
Analytics technique whose hallmark is the ability to make additional inferences based on analyzing one or more metrics,cognitive,"DP900,Definition"
"A simple, relative-measure chart that is useful only for a small number of categories",Pie chart,"DP900,Definition"
A data technique that translates information into a visual context to make it easier to understand and gain insights,Visualization,"DP900,Definition"
"Describes the use of computing and data resources to aid the identification, discovery, and analysis of critical business data",business intelligence (BI),"DP900,Definition"
"Larger, richer datasets optimized for decision support and complex questions posed of the data",Analytics Workloads,"DP900,Definition"
"Operational data that is processed in short, precise, isolated actions. Optimised for speed and accuracy within the interaction",Transactional Workloads,"DP900,Definition"
A form of Blob storage optimized for analytics support with a hierarchical folder structure and able to store both Relational data and Non-Relational data,Azure Data Lake Storage Gen2,"DP900,Definition"
"Analytics service built on Apache Spark that supports data processing, machine learning, and analytics via code in notebooks using SQL, R, Python, and Scala",Azure Databricks,"DP900,Definition"
"Open-source big data processing service, similar in purpose to Azure Synapse Analytics",Azure HDInsight,"DP900,Definition"
"Primary orchestration structure for data factory, which organises over datasets into a logical workflow",Pipeline,"DP900,Definition"
"In the context of Azure Data Factory or Synapse Pipelines, these describe work performed at each step in a Pipeline",activities,"DP900,Definition"
Data processing service in Azure that provides a UI to orchestrate data processing activities; Synapse Pipelines are built on the same platform as this resource.,Azure Data Factory,"DP900,Definition"
Specialized PowerBI report used to generate and share longer tabular data that can be formatted to fit well on a standard printed page,Paginated Reporting,"DP900,Definition"
A collection of Visualizations in Power BI Report Builder that are organized around a theme and allow for drill-down for further detail.,Dashboards,"DP900,Definition,\newline"
An Azure storage resource that employs the key-value type of Semi-structured data,Azure Table storage,"DP900,Definition"
"An Azure data resource well suited for storing and serving up Unstructured Data in the form of images, videos, and PDFs",Azure Blob storage,"DP900,Definition"
"A scripting language that has many uses - among them, interacting with Azure data resources",Azure PowerShell,"DP900,AZ900,Definition"
A command line language that can be used in a Bash shell to interact with Azure data resources,Azure command-line interface (CLI),"DP900,AZ900,Definition"
"A security device, in the form of software or hardware, that filters traffic to resources, such as databases.",Firewall,"DP900,Definition,AZ900"
Which service explicitly defines IP addresses that are authorized to access the database?,Firewall,DP900
A security-related process where a human user or a system is confirmed to be who they say they are,Authentication,"DP900,Definition"
The process of encoding data such that it can be interpreted by a system or human consumer only if they have a key that is passed between the source and the requester.,Encryption,"DP900,Definition"
"A data structure that copies and re-orders data or contains pointers to data to improve the speed of data retrieval operations, often at the cost of speed for write operations.",Index,"DP900,Definition"
An index is the structure used to sort value to help optimize query performance.,Index,DP900
BLANK is a virtual table whose contents is defined through a query.,Views,DP900
"Azure's cornerstone Platform-as-a-Service (PaaS) relational data resource, available in multiple configurations from a single database to databases that approach full Microsoft SQL Server capabilities",Azure SQL Database,"DP900,Definition"
A cloud-based Platform-as-a-Service (PaaS) offering that is as compatible as possible with the full Microsoft SQL Server platform while still providing the benefits of a fully managed service,Azure SQL Managed Instance,"DP900,Definition"
An Azure Platform-as-a-Service (PaaS) offering that is based on the community edition of a Relational Database that offers many of the advanced features only otherwise found in Azure SQL Database,Azure Database for PostgreSQL,"DP900,Definition"
"Relational Database service in the Microsoft cloud that supports multiple tiers of the community edition, which was originally forked off of MySQL",Azure Database for MariaDB,"DP900,Definition"
BLANK provides the best way to Provision a set of Azure services to multiple environments and save the configuration for future deployments.,Azure Resource Manager (ARM) templates,"DP900,AZ900"
"'Infrastructure as code', written in JSON to define and configure Azure resources",Azure Resource Manager (ARM) templates,"DP900,Definition,AZ900"
"Cross-platform database tool for data professionals using onpremises and cloud data platforms on Windows, macOS, and Linux",Azure Data Studio,"DP900,Definition"
"Data that has no defined structure, often referred to as blobs, but may include metadata associated with files, such as PDFs, images and videos",Unstructured Data,"DP900,Definition"
"One of 2 primary table types in star and snowflake data models, this table type often represents events or activities of the data, such as invoices or medical claims.",Fact,"DP900,Definition"
Acronym that describes the form of Azure service provided by SQL Server on a virtual machine.,Infrastructure-as-a-Service (IaaS),"DP900,Definition"
